,description,sentiment,predicted
7,London Protests collection #ketnapatel #britishindian #britishart #britishphotographer #protests #lockdown #killthebill #freedomofspeech #1984  #streetculture #popart #ketnapatelstudio #covid #bigbrother #bravenewworld #orwellian #wtfisthis #freedom #totalianarianism,neutral,negative
8,"Tonight @le_gafa is proud to share table sponsorship alongside alumni and actor/writer @ericscanlanjr & community partner @pacbizorg in support of the highly anticipated @wearesamoagala 

ABOUT THE EVENT
The We Are Samoa Gala is proud to be a platform that will benefit several initiatives that will serve the Pacific Islander Community through general education scholarships, performing arts scholarships, and continuing to build awareness on the burden of type 2 diabetes and heart disease on the Pacific Islander community.

• General education scholarships for Pacific Islanders students (through the National Pacific Islander Network, 501c3) 
• The Jerome Grey Performing Arts Fund to support Pacific Islander students pursuing a career in the arts 
• Create awareness and build outreach programs for the Pacific Islander community on the importance of the burden of diabetes on our community

#legafa #leadership #education #faasamoa #gagana #pacbiz #nonprofit #ericscanlanjr #sponsor #communityorganization #samoa #gala #event #support #community #jeromegrey #celebration #samoan #music #dance #entertainment #fashion #polynesian #pacificislander",positive,neutral
9,"@savinggabriella , an Afro-indigenous survivor of child abuse is struggling to pay for treatment to pull her out of crisis after being diagnosed with PTSD & CPTSD. Her patreon is available sign up so she can get the recurring monthly income she needs (this cost will go down in the later months and she comes out of crisis in quarantine). Right now it is urgent. Please sign up for her patreon, or if you are unable to commit to a monthly donation, a small ($5-$20) donation to her gofundme can at least help to cover her this months expenses. If you yourself cannot afford donate, please share and tag comrades and white allies in the comments!! #mutualaid #reparations #systemicracism #ptsd #cptsd #recovery #racism #blm",negative,positive
10,"#delcolacrosse #delcolaxclub #delcolacrosseclub @havenyouthlacrosse #futureisbright the numbers were great for our first ever training with the Haven youth program!  2 sessions, 100 players k-2, <U+0001F44F><U+0001F3FC><U+0001F44F><U+0001F3FC><U+0001F4AA><U+0001F3FC><U+0001F440>... I would like to thank all of@the Middle school players who showed up to help!  #givingback #uslacrosse #grassroots #delco #delcopa #delcoproud",positive,neutral
12,"Another satisfied client just got paid today 
Dm today for more info about this.
1) we have a software money monetary system we use to increase smaller amount into larger amount.

2) how this works????? Whenever you do a transaction to our accountant I can access it on the system and multiply the amount you want to increase.
(for example) let's say you do $200 your increase amount Will be $8000 on today's COVID19 special. 60 seconds process. I charge 20% of what you received

4) It's a 100% legit and guaranteed. A same day process that only takes a minute for you to see your results. So for any reason you didn't receive your cash or you're not 100% satisfied with your first attempt doing business with my company, you'll be refunded the full amount you invested.As you can see on my page my successful customers they do the processes day by day an make Money so i Want to let you Know that you Can 100% Trust me With this. Your Money is 100% Safe , Secure and Guaranteed. I Have helped thousands of people with this all over the World. I Will Not Leave you Disappointed if anything you'll be amazed, You have My Word. You will Make your Money Today working with me and You Won't Regret this Opportunity!
.
.
.
 #itsawrap #fucktrump #fuck12 #Acab #blacklivesmatter #trumppenceoutnow #blm #protest2020 #trumprally #protest #justiceforbreonnataylor #justiceforgeorgefloyd #blmla #blmuk #blmnyc #resistance #nojusticenopeace #fuckthepolice #breonnataylor #georgefloyd
 #WalkAway  #America #American #USA #UnderGod #InGodWeTrust  #SayNoToSocialism",positive,neutral
13,"Do you know exactly HOW you'll create the change in your community you want to see? How do you go from vision, to reality? 

All the great ideas you have in your mind can only become a reality in your community if you have an ACTIONABLE plan. 

What's your plan look like for this year?

Maybe you feel like the last few years of COVID set you back in what you had planned. I still believe that a strategic plan is exactly what you need to overcome those setbacks. 

I created a FREE webinar you can sign up for to learn more about how strategic planning can help you move forward this year, even if you've experienced set backs. 

Click the link in my bio to learn more and sign up. 

#nonprofits #nonprofit #communitybased #communityimpact #nonprofitorganization #strategicplanning #communityorganizaton #communityorganizations #makeadifference #bethechange",negative,positive
17,"LOVE this review of How To Change The World in the Times Literary Supplement! Can’t quite believe we’re in that, @annabel.tempest! <U+0001F440><U+0001F5DE><U+0001F389>

""...bright, lively and perfectly pitched, with cheery images...and text filled with an irrepressible sense of the possible"". <U+2728> Just WOW. <U+0001F49B><U+0001F30D> This review is everything and it’s got me smiling ear to ear! 

How To Change The World - Editor’s Choice in The Bookseller, a Primary Schools Read for Empathy book - words by me, artwork by #AnnabelTempest, edited by @emilywilsonlunn, design by @stephingstones @puffinbooksuk with PR magic from @eggnoggy91. <U+0001F4DA><U+0001F31F><U+0001F389>

So looking forward to talking about this book with lots of schools tomorrow thanks to the fabulous people at @7stories! <U+0001F3A5> <U+0001F440>

#HowToChangeTheWorld @DA_childrens @LydsSilver #WeCanChangeTheWorld #childrensbooks #childrensnonfiction #nonfictionforkids #kidsnonfiction #kidlit #kidlitart #childrensbookreview #kidsbookstagram #booksforchildren #activismforkids #changingtheworld #worldchangers #socialchange #socialjustice #socialmovements #raisingreaders #raisingleaders #rfp #readingforpleasure #primaryschools #pshe #ks1 #ks2",positive,neutral
21,First day back in over a year...#IT #updates #files #cabinets #signatures #protests #awards #funding #documents #the #pandemic #teleworking,neutral,positive
22,"Coming soon! “Marching Across Your Lawn, The Grass is on Fire”, a solo exhibition, at Amos Eno Gallery. Brooklyn, NY. Reception 4/23, Zoom & in person. More details to come. .
.
.
#watercolor #watercolorpainting #figurativeart #figurativeart #figurativepainting #figurativeartist #womenartist #womanartist #latinaartist #latinxartist #contemporaryartist #artlovers #artcollectors #artcurators #brooklyn #bushwick #bushwickart #bushwickgallery #bushwickbrooklyn #bushwickart #nyc #nycgallery #socialjustice #protest #instawatercolor #instafigurative @womensmarch @womenscaucusforart @womeninthearts #womensupportingwomen #womenempowerment #riseup",neutral,positive
23,"Go follow @cllctivly a great #communityorganization program that educate and assist the youth on #entrepreneurship #socialnetwork and #narrativepower more!!!!! 
It’s all about helping our #youth 
#MakingABetterCommunity
Shirt @cllctivly 
Bracelet @ajncreate 
@power410radio 
<U+0001F4F8> @jazzystudios",positive,neutral
