id,evaluation,texts,my_labels,predicted,prediction_class,error_type,clean_texts
1,validate,"#help #support #nonprofitorganization #communityorganization 
We don't have enough food we beg you to help and support us <U+0001F64F><U+0001F64F><U+2764><U+FE0F>",negative,positive,negative-positive,urgency,help support nonprofitorganization communityorganization We don't have enough food we beg you to help and support us U+0001F64F U+0001F64F U+2764 U+FE0F
3,validate,"There's a difference between ""going with the flow"" and ""strategizing for the flow"". Going with the flow has it's benefits, but strategizing is what helps you create lasting impact through effective programs and actions.  Choose your approach wisely. 

#strategygame #strategy #nonprofitorganization #nonprofitorganizations #ngo #communityservice #givingbacktothecommunity #communityorganization #communityorganizations #changemaker",neutral,positive,neutral-positive,gold uncertainty,"There's a difference between ""going with the flow"" and ""strategizing for the flow"" Going with the flow has it's benefits but strategizing is what helps you create lasting impact through effective programs and actions Choose your approach wisely  strategygame strategy nonprofitorganization nonprofitorganizations ngo communityservice givingbacktothecommunity communityorganization communityorganizations changemaker"
5,validate,"What's your favorite poem from our 2019 Power in the Pen Anthology? 
#poetry #powerinthepen #communityorganizations",positive,neutral,positive-neutral,short text,What's your favorite poem from our 2019 Power in the Pen Anthology? poetry powerinthepen communityorganizations
9,validate,"@savinggabriella , an Afro-indigenous survivor of child abuse is struggling to pay for treatment to pull her out of crisis after being diagnosed with PTSD & CPTSD. Her patreon is available sign up so she can get the recurring monthly income she needs (this cost will go down in the later months and she comes out of crisis in quarantine). Right now it is urgent. Please sign up for her patreon, or if you are unable to commit to a monthly donation, a small ($5-$20) donation to her gofundme can at least help to cover her this months expenses. If you yourself cannot afford donate, please share and tag comrades and white allies in the comments!! #mutualaid #reparations #systemicracism #ptsd #cptsd #recovery #racism #blm",negative,positive,negative-positive,urgency,savinggabriella an Afro indigenous survivor of child abuse is struggling to pay for treatment to pull her out of crisis after being diagnosed with PTSD & CPTSD Her patreon is available sign up so she can get the recurring monthly income she needs (this cost will go down in the later months and she comes out of crisis in quarantine) Right now it is urgent Please sign up for her patreon or if you are unable to commit to a monthly donation a small ($5 $20) donation to her gofundme can at least help to cover her this months expenses If you yourself cannot afford donate please share and tag comrades and white allies in the comments ! ! mutualaid reparations systemicracism ptsd cptsd recovery racism blm
13,validate,"Do you know exactly HOW you'll create the change in your community you want to see? How do you go from vision, to reality? 

All the great ideas you have in your mind can only become a reality in your community if you have an ACTIONABLE plan. 

What's your plan look like for this year?

Maybe you feel like the last few years of COVID set you back in what you had planned. I still believe that a strategic plan is exactly what you need to overcome those setbacks. 

I created a FREE webinar you can sign up for to learn more about how strategic planning can help you move forward this year, even if you've experienced set backs. 

Click the link in my bio to learn more and sign up. 

#nonprofits #nonprofit #communitybased #communityimpact #nonprofitorganization #strategicplanning #communityorganizaton #communityorganizations #makeadifference #bethechange",negative,positive,negative-positive,gold uncertainty,Do you know exactly HOW you'll create the change in your community you want to see? How do you go from vision to reality? All the great ideas you have in your mind can only become a reality in your community if you have an ACTIONABLE plan What's your plan look like for this year? Maybe you feel like the last few years of COVID set you back in what you had planned I still believe that a strategic plan is exactly what you need to overcome those setbacks I created a FREE webinar you can sign up for to learn more about how strategic planning can help you move forward this year even if you've experienced set backs Click the link in my bio to learn more and sign up  nonprofits nonprofit communitybased communityimpact nonprofitorganization strategicplanning communityorganizaton communityorganizations makeadifference bethechange
14,validate,"<U+0001F621>
.
.
.
.
.
.
.
.
.
.
#feminist #feministaf #feminism #lgbt  #bodypositive #patriarchy #smashthepatriarchy #downwithtrump #feministquotes #democrat  #liberal  #progressive #bisexual #gay #thefutureisfemale #blacklivesmatter  #mybodymychoice  #fuckpatriarchy  #mybodymychoice  #pictureoftheday  #protest  #revolution #rapevictim  #pictureoftheday  #rapeculture  #dresscode  #smashthepatriarchy #metoo #bookquotes #tweet",negative,neutral,negative-neutral,uncommon tokens,U+0001F621     feminist feministaf feminism lgbt bodypositive patriarchy smashthepatriarchy downwithtrump feministquotes democrat liberal progressive bisexual gay thefutureisfemale blacklivesmatter mybodymychoice fuckpatriarchy mybodymychoice pictureoftheday protest revolution rapevictim pictureoftheday rapeculture dresscode smashthepatriarchy metoo bookquotes tweet
24,validate,"Join KOVAL in supporting organizations that make this world a better place. Today we're highlighting the work of a few amazing non-profits and community organizations we've been honored to work with over the past few weeks: <U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
Station Kharkiv - Providing assistance to Ukrainian refugees throughout Crimea, Donetsk, and Luhansk regions. @station_kharkiv<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
New Moms Chicago - Strengthening families by partnering with young moms as they progress toward housing stability, economic mobility, and family well-being. @newmomschicago<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
Cabrini Green Legal Aid (CGLA) - Supporting individuals that have been negatively impacted by the criminal justice system in Chicago. @cabrinigreenlegalaid<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
The Simple Good - Empowering youth through mindfulness and social emotional learning (SEL) based art programming. @thesimplegood<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
Quiet Pterodactyl - Creating experiences, education, enjoyment, and entry into arts and music. @quiet_pterodactyl<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
.<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
#tzedakah #nonprofit #community #communityorganization #goodspirits #Chicago #Illinois #Midwest #giveback<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>
8w",positive,negative,positive-negative,enthusiasm,Join KOVAL in supporting organizations that make this world a better place Today we're highlighting the work of a few amazing non profits and community organizations we've been honored to work with over the past few weeks U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B Station Kharkiv Providing assistance to Ukrainian refugees throughout Crimea Donetsk and Luhansk regions station kharkiv U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B New Moms Chicago Strengthening families by partnering with young moms as they progress toward housing stability economic mobility and family well being newmomschicago U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B Cabrini Green Legal Aid (CGLA) Supporting individuals that have been negatively impacted by the criminal justice system in Chicago cabrinigreenlegalaid U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B The Simple Good Empowering youth through mindfulness and social emotional learning (SEL) based art programming thesimplegood U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B Quiet Pterodactyl Creating experiences education enjoyment and entry into arts and music quiet pterodactyl U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B tzedakah nonprofit community communityorganization goodspirits Chicago Illinois Midwest giveback U+200B U+200B U+200B U+200B U+200B U+200B U+200B U+200B 8w
30,validate,"When travelling on your own path, make sure you look around and reach out to help others. You never know how the tables may turn later on.

#educational #consultation #research
#leadership #vision #mission #mandates
#values #businessdevelopment #individualcoaching #businessplans #grantwriting #kameconsulting #businesstoronto #training #blackgirls
#planning #strategicplanning #smallbusiness #nonprofit #organizations #communitydevelopment #engagement
#support #womenempowerment
#communityorganizations #facilitation",neutral,positive,neutral-positive,suggestion,When travelling on your own path make sure you look around and reach out to help others You never know how the tables may turn later on educational consultation research leadership vision mission mandates values businessdevelopment individualcoaching businessplans grantwriting kameconsulting businesstoronto training blackgirls planning strategicplanning smallbusiness nonprofit organizations communitydevelopment engagement support womenempowerment communityorganizations facilitation
31,validate,"Hey guys!! New raffle dropped a couple days ago and I'm making this post to boost it! All proceeds are going to trans mutual funds! To enter simply get $10 to @haylgents 
This baddy is loaded with beautiful calming works by various local artists (tagged in each photo)
Please like and share!!

#raffle #transhealthcare #transrights #donate #gofundme #mutualaid #localart #artistssupportingartists",positive,neutral,positive-neutral,advertising,Hey guys ! ! New raffle dropped a couple days ago and I'm making this post to boost it ! All proceeds are going to trans mutual funds ! To enter simply get $10 to haylgents This baddy is loaded with beautiful calming works by various local artists (tagged in each photo) Please like and share ! ! raffle transhealthcare transrights donate gofundme mutualaid localart artistssupportingartists
33,validate,"Just because you're an American living outside the country, you can still vote. And you should. Organizations like Democrats Abroad are here to help make it as easy a process as it can be. Global chair Julia Bryan talks about this, the Electoral College, HR1, the filibuster, her blog and more. Plus handy links for voters abroad from several countries in the episode notes. #PragueTimes #votingcounts #democratsabroad #HR1 #forthepeople #filibuster 
https://praguetimes.podbean.com/e/folks-democrats-abroad-with-julia-bryan/",positive,negative,positive-negative,suggestion,Just because you're an American living outside the country you can still vote And you should Organizations like Democrats Abroad are here to help make it as easy a process as it can be Global chair Julia Bryan talks about this the Electoral College HR1 the filibuster her blog and more Plus handy links for voters abroad from several countries in the episode notes PragueTimes votingcounts democratsabroad HR1 forthepeople filibuster https praguetimes podbean com e folks democrats abroad with julia bryan
